State_Name District_Name Crop_Year Season Crop Area Production
AndamanandNicobarIslands NICOBARS 2000 Kharif Arecanut 1254 2000
AndamanandNicobarIslands NICOBARS 2000 Kharif Banana 2 1
AndamanandNicobarIslands NICOBARS 2000 Kharif Rice 102 321
AndamanandNicobarIslands NICOBARS 2000 WholeYear Banana 176 641
AndamanandNicobarIslands NICOBARS 2000 WholeYear Cashewnut 720 165
AndamanandNicobarIslands NICOBARS 2000 WholeYear Coconut 18168 6510
AndamanandNicobarIslands NICOBARS 2000 WholeYear Sugarcane 36 100
AndamanandNicobarIslands NICOBARS 2000 WholeYear Sugarcane 1 2
AndamanandNicobarIslands NICOBARS 2000 WholeYear Coconut 5 15
AndamanandNicobarIslands NICOBARS 2000 WholeYear Tapioca 40 169
AndamanandNicobarIslands NICOBARS 2001 Kharif Arecanut 1254 2061
AndamanandNicobarIslands NICOBARS 2001 Kharif OtherKharifpulses 2 1
AndamanandNicobarIslands NICOBARS 2001 Kharif Rice 83 300
AndamanandNicobarIslands NICOBARS 2001 WholeYear Cashewnut 719 192
AndamanandNicobarIslands NICOBARS 2001 WholeYear Coconut 18190 6443
AndamanandNicobarIslands NICOBARS 2001 WholeYear Dryginger 46 100
AndamanandNicobarIslands NICOBARS 2001 WholeYear Sugarcane 1 1
AndamanandNicobarIslands NICOBARS 2001 WholeYear Sweetpotato 11 33
AndamanandNicobarIslands NICOBARS 2002 Kharif Rice 189 510
AndamanandNicobarIslands NICOBARS 2002 WholeYear Arecanut 1258 2083
AndamanandNicobarIslands NICOBARS 2002 WholeYear Banana 213 1278
AndamanandNicobarIslands NICOBARS 2002 WholeYear Blackpepper 63 13
AndamanandNicobarIslands NICOBARS 2002 WholeYear Cashewnut 719 208
AndamanandNicobarIslands NICOBARS 2002 WholeYear Coconut 18240 67490
AndamanandNicobarIslands NICOBARS 2002 WholeYear Drychillies 413 28
AndamanandNicobarIslands NICOBARS 2002 WholeYear Dryginger 47 133
AndamanandNicobarIslands NICOBARS 2002 WholeYear Sugarcane 5 40
AndamanandNicobarIslands NICOBARS 2003 Kharif Rice 52 90
AndamanandNicobarIslands NICOBARS 2003 WholeYear Arecanut 1261 1525
AndamanandNicobarIslands NICOBARS 2003 WholeYear Banana 266 1763
AndamanandNicobarIslands NICOBARS 2003 WholeYear Blackpepper 75 15
AndamanandNicobarIslands NICOBARS 2003 WholeYear Cashewnut 717 208
AndamanandNicobarIslands NICOBARS 2003 WholeYear Coconut 18284 6858
AndamanandNicobarIslands NICOBARS 2003 WholeYear Drychillies 60 102
AndamanandNicobarIslands NICOBARS 2003 WholeYear Dryginger 102 326
AndamanandNicobarIslands NICOBARS 2003 WholeYear otheroilseeds 4 0
AndamanandNicobarIslands NICOBARS 2004 Kharif Rice 524 72
AndamanandNicobarIslands NICOBARS 2004 WholeYear Arecanut 1264 805
AndamanandNicobarIslands NICOBARS 2004 WholeYear Banana 66 404
